sigma,pair,rre,rte,rmse,time
0.01,0,0.06015999656162,0.0004580322191378,0.0007263776406206,5.794727518688887
0.01,1,0.0356473880353567,0.0005616931696254,0.0005914664547156,5.446959902066737
0.01,2,0.0978527434812359,0.0003414962892403,0.0010068228562943,5.491340001113713
0.01,3,0.1886743910815654,0.0008083762804477,0.0018077653353704,5.447481470182538
0.01,4,0.0703890304306148,0.0007655431198219,0.0009832994110059,5.464404292870313
0.01,5,0.3421887718909179,0.0026032812303728,0.0031623302049275,5.515751219820231
0.01,6,0.0656755838956906,0.0001524656111629,0.0006033722696569,5.466210949700326
0.01,7,0.0507440508998068,0.0006211316376669,0.0006858549482625,5.516498795244843
0.01,8,0.0581962732047152,0.0004257416329049,0.0007695088252103,5.460024243220687
0.01,9,0.0789000075400647,0.0004628320914177,0.0007429185975945,5.517422517761588
0.01,10,0.0540953173842884,0.0005292715419645,0.0006322998505664,5.466671718284488
0.01,11,0.043464272931075,0.0007684001759425,0.0008664825200348,5.51569774793461
0.01,12,0.1991081488421563,0.0011609179225129,0.0018824410799118,5.458526983857155
0.01,13,0.0658702748913468,0.0005395879597949,0.0006833628725302,5.515823695808649
0.01,14,0.0260080401483269,0.0002711163658668,0.0003186470035433,5.468129967804998
0.01,15,0.0528282615551233,0.0003771662242681,0.0005109470532942,5.519057406112552
0.01,16,0.0383757720207361,0.0007569610563765,0.000838524446103,5.465472906827927
0.01,17,0.1006827726558782,0.0003266551821888,0.0010049562781523,5.468449217267335
0.01,18,0.0191139209334068,0.000532458966975,0.0005894174815939,5.527961304411292
0.01,19,0.1304808080787216,0.000749502312609,0.0011486844441627,5.465713473968208
0.02,0,0.0379685827499797,0.0008830363492963,0.0009270581450448,5.525541808921844
0.02,1,0.2269375351139537,0.0012643514258671,0.0022324539916485,5.467662014998496
0.02,2,0.3301146108177409,0.0022527195131777,0.0036916568189372,5.520857684314251
0.02,3,0.7382790857448068,0.0031234185786081,0.0065773290264484,5.462768473662436
0.02,4,0.1078828815119535,0.0025308519224515,0.0024244080681256,5.517674939706922
0.02,5,1.3375639308674945,0.0088567272011179,0.0119847573009618,5.4615960801020265
0.02,6,0.1682897748116601,0.0010245593501567,0.0016533079049538,5.467742617242038
0.02,7,0.0608035044560177,0.0007521043868537,0.0008484932264328,5.5222897860221565
0.02,8,0.4243313521176249,0.0023744223791868,0.0035969840339053,5.46943773701787
0.02,9,0.363935384537521,0.0009237961508333,0.0027493865136919,5.527062171604484
0.02,10,0.236643286755906,0.00144265941499,0.0020711160089054,5.474236493930221
0.02,11,0.2704783950792397,0.0013409515687364,0.0030164634435772,5.524167574942112
0.02,12,0.7120031973199317,0.003441628910546,0.006594068425544,5.465082238893956
0.02,13,0.1291487791600165,0.0015343115375712,0.0018953454240668,5.521957917138934
0.02,14,0.2072427136637995,0.0014689739270222,0.0025569397142142,5.471959298010916
0.02,15,0.1660688882828095,0.0019875354268538,0.0021883388184932,5.515316052827984
0.02,16,0.1828055229426934,0.0015232425614054,0.0023226290173635,5.466746628750116
0.02,17,0.1199301733975727,0.0013691555156685,0.0017096242695313,5.521999279037118
0.02,18,0.1442524409163781,0.0015266017634473,0.0019942935419336,5.471231812611222
0.02,19,0.5415261521827026,0.0028957275844332,0.0046812414923788,5.460995451081544
0.03,0,0.1126833609618363,0.0011178101936417,0.0012790623258367,5.516887118108571
0.03,1,0.4779069567275974,0.0020391732657548,0.003999975979921,5.461652684025466
0.03,2,0.638112556705258,0.0051727959915961,0.0070664760128384,5.517396914772689
0.03,3,1.1403135218405591,0.0051902102238256,0.0107327577790555,5.461350696161389
0.03,4,0.1898927923218674,0.0047415938974615,0.0045937691356887,5.516599175985903
0.03,5,2.24516836541589,0.0148080309089157,0.0202029700352478,5.459934725891799
0.03,6,0.2720336158167666,0.0025614021965738,0.0032730793525998,5.517081577796489
0.03,7,0.0790925274232531,0.0024921052275468,0.0024641055473573,5.464558034203947
0.03,8,0.6864610564167981,0.0041970302449044,0.0059046430611517,5.512337495107204
0.03,9,0.7061282613714126,0.0015285563307201,0.0053054622370178,5.463992333970964
0.03,10,0.3475962846339427,0.0016347766734969,0.002949000653452,5.464911330025643
0.03,11,0.3598988319892676,0.0021152353910409,0.0044127262458998,5.509401900228113
0.03,12,1.062787210637928,0.0049974424934413,0.0101309741394773,5.459287639707327
0.03,13,0.1927300027773802,0.0024538855130542,0.0029612052351331,5.511638953816146
0.03,14,0.407859630404667,0.0021005401554831,0.0046334155831657,5.471510717645288
0.03,15,0.2743622339499849,0.0040513285532809,0.0041831786903571,5.50902696326375
0.03,16,0.4225082018020231,0.0024337937279406,0.0046602761560882,5.467822887003422
0.03,17,0.2648574001786122,0.003224625999741,0.0034139283831426,5.518634633161128
0.03,18,0.3687715990792676,0.0026280753466647,0.0043812374004803,5.467679453548044
0.03,19,0.937662014801294,0.0056868196431988,0.0085497116170494,5.509896685834974
0.04,0,0.1310757555662071,0.0009690293979186,0.0014034990872341,5.462344435974956
0.04,1,0.7415915150397824,0.0036237771971348,0.0062082123766188,5.462341032922268
0.04,2,0.9322009679652588,0.008679878072001,0.0110179897474474,5.507903927005827
0.04,3,1.686932249252054,0.0080632505805617,0.0165830939700142,5.46016338467598
0.04,4,0.3800752723237831,0.0068658437570629,0.006979994478907,5.507557225879282
0.04,5,3.3307195612762754,0.0217055580676659,0.0301547339566059,5.458829485345632
0.04,6,0.3153903842788162,0.0045522089254997,0.0052722564884844,5.5110060181468725
0.04,7,0.1645466231031977,0.0048735881846166,0.0047872677844144,5.467093862127513
0.04,8,0.90807988565083,0.0064060287510416,0.0083002506751726,5.507878612726927
0.04,9,0.9003384078186183,0.0027858806528905,0.0070946346328919,5.46666299412027
0.04,10,0.4806655933476398,0.0011877216480213,0.0040925675796395,5.460411699023098
0.04,11,0.466987169937187,0.0028922529347315,0.0059848975266822,5.506682905368507
0.04,12,1.5667366384203618,0.0070189393358052,0.0153597024519781,5.458274391014129
0.04,13,0.2427997477046835,0.0034634003243758,0.0043251167216356,5.51038794638589
0.04,14,0.6225998567895796,0.0033534307870157,0.0074047606137258,5.46625189203769
0.04,15,0.3962471729213913,0.0058960636217743,0.0061961209631789,5.506976562086493
0.04,16,0.8494055213500299,0.0041710612786864,0.0087276874725811,5.464157234877348
0.04,17,0.2712243583423683,0.0051460807373986,0.0049876633496174,5.514484633691609
0.04,18,0.6582640080599513,0.0041529098080104,0.007381097701723,5.464855812955648
0.04,19,1.4410260639326569,0.0089293243426068,0.0132787025085079,5.506827882025391
0.05,0,0.18079497751382093,0.0018743570269133577,0.00257924254144971,5.456307414919138
0.05,1,1.033578756826818,0.005838478990525617,0.008935497840796586,5.50690204417333
0.05,2,1.1727227609909276,0.012156642540948073,0.0149571102087571,5.458150252699852
0.05,3,2.485701124852009,0.01267846853566041,0.02514971964958023,5.448789882939309
0.05,4,0.6767779171629849,0.009272676270054458,0.010040752185964497,5.512443715240806
0.05,5,4.711738760238669,0.029668451727761176,0.04282579398607995,5.44831314869225
0.05,6,0.5315183023900042,0.006412090893356926,0.007788243951274273,5.516212295740843
0.05,7,0.2841370223364625,0.007608475633360576,0.007531104669386203,5.451093745883554
0.05,8,1.059042954859303,0.009374397184019067,0.010865209023328878,5.51154921296984
0.05,9,1.154774085537504,0.005544215159661595,0.009752019158997484,5.450820014812052
0.05,10,0.6866024155117199,0.0018617338062286294,0.005893048412227747,5.515805067960173
0.05,11,0.6084850753237997,0.003966408321414417,0.008079933899511834,5.448459649924189
0.05,12,2.2362071296677875,0.01076407802769768,0.022832484988718496,5.5088478601537645
0.05,13,0.3608664134764809,0.004968417839351862,0.0064695297217460855,5.451404937077314
0.05,14,0.7811071932407438,0.004489499596144031,0.00967748193634235,5.463725955691189
0.05,15,0.5938728738107114,0.008385363742116762,0.00904263681854067,5.498239610809833
0.05,16,1.3436870338825533,0.006697641989113871,0.013651490659958193,5.464141777716577
0.05,17,0.20529875536510847,0.006536290253646522,0.0062583583089944475,5.506162231788039
0.05,18,0.8409317390914233,0.004719338678408919,0.009132700928718806,5.46279659634456
0.05,19,1.922114416264493,0.012018859777185349,0.01774676845600886,5.499438197817653
