sigma,pair,rre,rte,rmse,time
0.01,0,0.6253549707706784,0.0132636492503822,0.0147332406575476,0.1271841339766979
0.01,1,0.4770492635753889,0.0065203436831134,0.0080342041675397,0.1238904190249741
0.01,2,2.5477776669325327,0.0132979551095144,0.0270790962110448,0.1012822920456528
0.01,3,1.1929533539237078,0.0101901446940556,0.0130860400191371,0.1160622499883174
0.01,4,1.4755941193214526,0.0188659402895724,0.0208284030571991,0.1117283250205218
0.01,5,4.031165614115549,0.0242005348797751,0.0325820041735035,0.1017133709974587
0.01,6,0.8946289480606584,0.0061403175569196,0.0107998546751142,0.1149814021773636
0.01,7,1.151508421867835,0.0122250580645376,0.0155111226642497,0.1162380720488727
0.01,8,1.3010973210361656,0.0178540451620046,0.0214529964591607,0.1085634459741413
0.01,9,1.1734992954695704,0.0079531747553171,0.0144199110821697,0.1145423888228833
0.01,10,3.249997925797355,0.0177734515881998,0.0272903619795302,0.1143215959891676
0.01,11,0.4726522246365408,0.006623445052359,0.007416107811377,0.119078439194709
0.01,12,1.410391849807033,0.0105176988806167,0.0169243296773872,0.1144838049076497
0.01,13,2.0138434053183736,0.0139829638100452,0.0195358937600789,0.1146356482058763
0.01,14,3.2190060809813663,0.0043991492380359,0.0274503975858518,0.1103377970866859
0.01,15,6.336431982645137,0.0423960579589162,0.0590457323997503,0.0981029742397368
0.01,16,0.7137867616262089,0.0055234993324643,0.0080119985169158,0.1158503871411085
0.01,17,0.5668614001067549,0.0070810169051035,0.0085978413638031,0.117345982696861
0.01,18,1.015431794208876,0.004600777927348,0.0095789667394107,0.109504107851535
0.01,19,1.3686554823455994,0.0095720325042425,0.013513738292508,0.1266581946983933
0.02,0,3.9294980545497777,0.0310593285743061,0.0457119020305811,0.1061922637745738
0.02,1,4.076659535475906,0.1054066681559956,0.1048926287165398,0.1004934832453727
0.02,2,34.23276008192193,0.2080150133978601,0.2919581765598034,0.1047969381324946
0.02,3,14.21239681163618,0.0256536853319646,0.1138036427544195,0.1058377791196107
0.02,4,13.938309854828733,0.125316640315144,0.1547129898546716,0.1004822491668164
0.02,5,57.15682804103858,0.3423589838083561,0.4481527461951207,0.1023162039928138
0.02,6,3.76660976121378,0.0731926120988587,0.0772952713483438,0.1019792729057371
0.02,7,3.207380960936799,0.0393818215419753,0.0483935614348933,0.1024517207406461
0.02,8,7.93471903038447,0.0821318520675541,0.1002045312073334,0.1013000858947634
0.02,9,2.45333738844425,0.0516103209609633,0.0536565971474621,0.1037104502320289
0.02,10,11.825606795012703,0.0194890143089676,0.0992272179073151,0.1042902502231299
0.02,11,2.053720396985775,0.0158095198102671,0.0236548744966481,0.1030464572831988
0.02,12,3.212286091413729,0.0443467766479975,0.0514701778119173,0.1031765821389854
0.02,13,19.375387312286463,0.1343574885173004,0.1756319301604624,0.1020327378064394
0.02,14,10.15509904525145,0.0565507220324706,0.1196920888959439,0.101042634807527
0.02,15,29.125775816603355,0.1365308474102271,0.2227924116480978,0.1009965613484382
0.02,16,12.394230613726297,0.0443129831860865,0.0938036031107751,0.1036969199776649
0.02,17,4.301453542857994,0.0337187326364443,0.0536009138825422,0.1040764907374978
0.02,18,16.69642383657641,0.0276051066256978,0.1432448752911677,0.1018232922069728
0.02,19,5.967190154324284,0.0923556786883972,0.1056838616378147,0.1016726340167224
0.03,0,146.8720050360408,0.3046764499307975,0.9335480100295724,0.096274082083255
0.03,1,43.398719517196206,0.3730360352795819,0.4428487581600215,0.100540030747652
0.03,2,64.12229463824032,0.3375624221888688,0.5169384331718387,0.0974902841262519
0.03,3,143.91137049758277,0.569449880071413,0.878772210100556,0.0967837520875036
0.03,4,140.36804093517802,0.233372191156984,0.9557066379704476,0.0991347590461373
0.03,5,131.76135923335607,0.3464619076552465,0.9442057965973426,0.0963214491494
0.03,6,33.87789287074285,0.3577440270351888,0.4925702600557509,0.0968118119053542
0.03,7,124.73322142929624,0.2031979838735921,0.8612247571221748,0.0990215651690959
0.03,8,29.99999999999998,0.15480299789401,0.2926529605204916,0.0971819260157644
0.03,9,53.2925615002085,0.2926524137340964,0.4171268172051768,0.0997293191030621
0.03,10,161.30765191642814,0.3480469408454469,0.8658546654384217,0.0976892751641571
0.03,11,33.70485196583746,0.1522800585517371,0.2994034992433393,0.0990648246370256
0.03,12,142.2611311471579,0.5390269086253815,0.8385554596323253,0.0977620598860085
0.03,13,29.99999999999998,0.1036919516819852,0.2286990093693042,0.1011534938588738
0.03,14,33.205114111815526,0.1986366190045046,0.3858448558994038,0.0973791982978582
0.03,15,29.99999999999998,0.0877597893222677,0.2814799612834755,0.0963247171603143
0.03,16,40.26245971128637,0.2361310292478302,0.4455437851826949,0.1000485448166728
0.03,17,29.99999999999998,0.0809261751920527,0.2704346209032184,0.0969381583854556
0.03,18,116.73667822928888,0.3953249054005156,0.8239405065865992,0.0968746868893504
0.03,19,87.4512737206857,0.1064428767100567,0.6587195312017315,0.0961840040981769
0.04,0,152.76335871988377,0.2914750072822074,0.8670461618030594,0.0921786013059318
0.04,1,29.99999999999998,0.046014231145462,0.2811676912327282,0.0932565331459045
0.04,2,29.99999999999998,0.1430313353588858,0.2740852494441244,0.0937515092082321
0.04,3,29.99999999999998,0.1319158929465695,0.2264436831276796,0.0915169520303607
0.04,4,29.99999999999998,0.0523347208447885,0.2955319288313082,0.0928694638423621
0.04,5,29.99999999999998,0.026366498291762,0.2755648270834659,0.0909320139326155
0.04,6,29.99999999999998,0.1003396732676885,0.2886474545186288,0.0921708517707884
0.04,7,29.99999999999998,0.1098387365169452,0.2704925020094325,0.0946947787888348
0.04,8,29.99999999999998,0.1545606612572185,0.2925900334855028,0.0921506807208061
0.04,9,164.04065739597348,0.4466269077087227,0.8927369002508144,0.0934273567982018
0.04,10,29.99999999999998,0.1172334715175218,0.2919832947153693,0.0922153131105005
0.04,11,29.99999999999998,0.1683350623000354,0.2881215512635443,0.0929575380869209
0.04,12,29.99999999999998,0.1222966347953608,0.2724340638118441,0.0923496298491954
0.04,13,29.99999999999998,0.1034727189950802,0.2286822260360465,0.0920539912767708
0.04,14,29.99999999999998,0.0949723930373284,0.2829299414322983,0.0942921889945864
0.04,15,29.99999999999998,0.0877725497095672,0.2814666162168543,0.0910697397775948
0.04,16,29.99999999999998,0.1297039202819983,0.2836657435561682,0.0935081047937274
0.04,17,29.99999999999998,0.0809301563432196,0.2704439411315296,0.0937469201162457
0.04,18,29.99999999999998,0.0514797076442146,0.2673517545771604,0.0907621881924569
0.04,19,29.99999999999998,0.1276507783773246,0.2501136630291006,0.0925914868712425
0.05,0,29.99999999999998,0.10955893767535546,0.29522468741671437,0.0867833411321044
0.05,1,29.99999999999998,0.045748314031221995,0.28113143567171267,0.08880522334948182
0.05,2,29.99999999999998,0.14289378161088379,0.27408488524742025,0.08845946192741394
0.05,3,29.99999999999998,0.1316862501656692,0.2264171666702384,0.09121346520259976
0.05,4,29.99999999999998,0.05256166566784547,0.2955775605178469,0.08853933913633227
0.05,5,29.99999999999998,0.026453979822339612,0.2755843138641212,0.09142774203792214
0.05,6,29.99999999999998,0.10036867805668052,0.2886750852594735,0.08931879792362452
0.05,7,29.99999999999998,0.10976194583761155,0.27042921710056855,0.08956997375935316
0.05,8,79.6576573731328,0.7012996049482119,0.8963182312701913,0.08924925979226828
0.05,9,29.99999999999998,0.1060587910019187,0.28995023003095033,0.08831004379317164
0.05,10,29.99999999999998,0.11700194265747395,0.2919226275628395,0.08801544224843383
0.05,11,29.99999999999998,0.16834202114518862,0.2881549024464947,0.0891484278254211
0.05,12,29.99999999999998,0.12262644640119286,0.27247044382590674,0.0874649379402399
0.05,13,29.99999999999998,0.10325382434569823,0.22866580430021416,0.08765765093266964
0.05,14,29.99999999999998,0.09497633816458242,0.2829681985421584,0.08846162678673863
0.05,15,29.99999999999998,0.08778551661190775,0.2814533355081379,0.08652364974841475
0.05,16,29.99999999999998,0.12958863849025137,0.2837092304078942,0.08886884106323123
0.05,17,29.99999999999998,0.08093484961426092,0.270453474202612,0.08935868600383401
0.05,18,29.99999999999998,0.0513742887395788,0.26732223527578525,0.08900285605341196
0.05,19,29.99999999999998,0.12773004756286405,0.2501176825877913,0.08780405344441533
