sigma,pair,rre,rte,rmse,time
0.01,0,0.0417398434234238,0.0003378434913666,0.0005073368784314,0.2181409099139273
0.01,1,0.0517046852257882,0.0008560008743978,0.0008261235305704,0.2021283060312271
0.01,2,0.129054049294615,0.0004684851664612,0.0013207995442654,0.2110907407477498
0.01,3,0.0783876016793055,0.0007088979423437,0.0010996508157492,0.1968330410309136
0.01,4,0.0884231343314962,0.0009276232253348,0.0010328559740164,0.2041924810037017
0.01,5,0.0582941387704934,0.0009937486777446,0.0009942671327766,0.1936827953904867
0.01,6,0.0308766077505192,0.0003564726597966,0.0004130539733817,0.2045995406806469
0.01,7,0.0424316761386454,0.0007843344151032,0.0007461101743394,0.2032059831544757
0.01,8,0.0480416015647108,0.0005518591583175,0.0006438799048764,0.204102735966444
0.01,9,0.0725180797162358,0.0001624804704438,0.0007468534391566,0.2043786020949483
0.01,10,0.0958401418644942,0.0009007149910088,0.000991324296013,0.2055804878473281
0.01,11,0.0804393218655317,0.0008712465493431,0.0010582887758931,0.2043300662189722
0.01,12,0.1173479993585352,0.0003665376304422,0.0011997838056035,0.211735715623945
0.01,13,0.0473497115524621,0.0003962448672297,0.0005804728082068,0.2034223559312522
0.01,14,0.0257247787989993,0.0005931194604921,0.000566677654779,0.2104172077961266
0.01,15,0.0837313092397325,0.0002364736493855,0.00070172930312,0.2027510087937116
0.01,16,0.0486079776711121,0.0007556427029732,0.0007379369744507,0.2118742079474032
0.01,17,0.1371033811724918,0.0004651037550904,0.0013763912270691,0.2178569538518786
0.01,18,0.0679308600891789,0.0004934015220707,0.0006968970189776,0.2070143991149962
0.01,19,0.1235806316206327,0.0008682132280055,0.0013248810238149,0.1991826156154275
0.02,0,0.2751317777894635,0.000876854608368,0.0025647013877519,0.1889272518455982
0.02,1,0.0546387740012374,0.0026092927914444,0.0027802388699406,0.1797881610691547
0.02,2,0.465090767566151,0.0007665014435786,0.0044541488989212,0.1839614519849419
0.02,3,0.2773542252290007,0.0015179124386961,0.0028529189113767,0.1716113393194973
0.02,4,0.2218377172716342,0.0040164382214528,0.0039783791497081,0.1780309039168059
0.02,5,0.603356193709461,0.0060091742641245,0.006805191662208,0.168973181862384
0.02,6,0.2895297339603825,0.002789444154161,0.0040971143637124,0.1806875332258641
0.02,7,0.1015048049835919,0.0021835967551816,0.0021398501679045,0.1825942057184875
