sigma,pair,rre,rte,rmse,time
0.01,0,0.3239355056093008,0.0023107000786589,0.0035061521541887,9.32420874806121
0.01,1,18.6644253556232,0.121741035982379,0.2372693810383833,0.2604834991507232
0.01,2,0.2224637501054595,0.0014539386658942,0.0021732921594562,0.2644717092625797
0.01,3,25.903690534887627,0.1973502694738558,0.2642704384414755,0.2106631309725344
0.01,4,5.499232339030177,0.0504833163390445,0.0648130946523293,0.4294418720528483
0.01,5,0.921049762241436,0.0057530356553449,0.0099901486885268,0.2139826510101556
0.01,6,1.1231152637257718,0.0039630672022177,0.0110428952572963,0.1996384640224278
0.01,7,0.1069519734087327,0.0017625692841796,0.002002831139508,0.1990181589499116
0.01,8,33.34382627065332,0.1846170229119834,0.3491519407337531,0.1992862238548696
0.01,9,26.78306269150228,0.0368921072192572,0.2300057400370117,0.1991036520339548
0.01,10,24.846057883302034,0.2462514131459304,0.3841142507342762,0.2161592319607734
0.01,11,27.49951042638786,0.1811756878936568,0.2981462818380616,0.2178629976697266
0.01,12,0.2071151793968431,0.0013676442864809,0.0020092019795149,0.2074279710650444
0.01,13,12.51998174164405,0.1880755137383425,0.2059132048407224,0.2046137899160385
0.01,14,25.7736811351486,0.1463293601895885,0.278676564325844,0.1961887776851654
0.01,15,12.120251220020435,0.046821984962403,0.1234509865462004,0.1974852862767875
0.01,16,25.92810145037265,0.1478162134446592,0.2341425873769653,0.1986636938527226
0.01,17,0.099866935421161,0.0006589403999738,0.0011106762196537,0.1780355097725987
0.01,18,3.2704745447055643,0.0157456194627286,0.0342600011002932,0.1981945359148085
0.01,19,10.776408493066892,0.0745604574057643,0.1155127842675146,0.1972030932083726
0.02,0,1.001017195860988,0.0069108123332141,0.0111292644171155,0.2005397309549152
0.02,1,12.238138779848176,0.0617080991389345,0.1435180989179522,0.2117159469053149
0.02,2,0.4732391078822913,0.0009018969171722,0.0044199297593008,0.2638542470522225
0.02,3,5.677823517953732,0.0222471149905072,0.0467802634858178,0.205405062995851
0.02,4,0.6798197705547866,0.0044443314457045,0.0072141395258352,0.1967824017629027
