sigma,pair,rre,rte,rmse,time
0.01,0,0.0715792023321586,0.0007442062977679,0.000805074738192,4.313756477087736
0.01,1,0.0806032133209436,0.0009897941302907,0.0010897172099465,4.168365949764848
0.01,2,0.1084275158838866,0.0006419525498499,0.0012170398214632,4.151823335327208
0.01,3,0.0541639228214266,0.0005426624479139,0.0008759086655288,4.108487071003765
0.01,4,0.135038926498277,0.001365270784138,0.0015197171013246,4.135224633384496
0.01,5,0.2193109175535707,0.001581865796574,0.0022480492805866,4.046340405009687
0.01,6,0.1079672410497996,0.0007700687413711,0.0009875152928574,4.029376611113548
0.01,7,0.0781291932150666,0.0006251305495462,0.0009734177495948,4.137294464278966
0.01,8,0.1200568885401976,0.0009389780594539,0.0013116256985556,4.08950008219108
0.01,9,0.0557060596409974,0.0010910903567501,0.0010386028752629,4.196972378063947
0.01,10,0.0815147230211625,0.0007687963139305,0.0009412846489606,4.093760782852769
0.01,11,0.1024841797016721,0.0009483304262777,0.0013366765704594,4.166113338898867
0.01,12,0.1138355299580865,0.0001451964455306,0.0010519269998162,4.111987380776554
0.01,13,0.0513164744746175,0.0009752182020593,0.0009934252486496,4.127273122780025
0.01,14,0.1136765819002755,0.0001703158097164,0.0010645464186567,4.163258303888142
0.01,15,0.0823028068192735,0.0009454675105593,0.0010767300371076,3.9295882787555456
0.01,16,0.0669893823400647,0.0007677417823607,0.0009903778901785,4.163895756006241
0.01,17,0.0675773351820798,0.0005749348049968,0.0009302169341037,4.060450864955783
0.01,18,0.0567206446711191,0.0012036407086407,0.001281966359633,4.092591776046902
0.01,19,0.1191197582316304,0.0009436778052342,0.0014219048379863,4.181102095171809
0.02,0,1.3750866928559882,0.0058907833214675,0.0143112554222342,3.863883276004344
0.02,1,0.0485100327696506,0.0048949703923345,0.0050025253368194,4.034447533078492
0.02,2,0.3343886207905787,0.0061497929166662,0.0073025648439128,4.026626782026142
0.02,3,1.0597260166541267,0.0040960590120451,0.0090077179106655,3.923398721963167
0.02,4,0.4358514482039003,0.0080049607900031,0.0088345696435259,4.05253039766103
0.02,5,0.4220361075767026,0.0037689940185999,0.0050274660386902,3.9193175374530256
0.02,6,0.7481841703008189,0.0044752358479061,0.0076110000616741,3.8987434138543904
0.02,7,0.3327977273754759,0.0063420234734695,0.0060436955973442,3.936699980869889
0.02,8,0.6804557633979816,0.0091110238376736,0.0099994304691173,4.004630873911083
0.02,9,0.75138010764377,0.0031078065633168,0.0077107735364663,3.923322814051062
0.02,10,0.154896420825738,0.0041498079802473,0.0042313813968695,3.909292994998395
0.02,11,0.1828980994705766,0.0019646641670133,0.0024888636626479,4.041792785283178
0.02,12,0.7921808829162565,0.0032536900476754,0.0069526353926617,3.962144887074828
0.02,13,0.4309690132817907,0.006088369045784,0.0067023633519395,3.9107154542580247
0.02,14,0.52916796243642,0.0068082425049457,0.008368631124453,4.053478113841265
0.02,15,0.3609715778713356,0.0025103705184516,0.0037937798118237,3.818414181936532
0.02,16,0.8148599390222783,0.0065565999591023,0.0085288014246409,4.052293890155852
0.02,17,0.8373419809005893,0.0040701730838267,0.0068384603932717,3.9294225382618606
0.02,18,0.3278085857105573,0.0035146803674535,0.0049030365969756,3.932554265018553
0.02,19,0.7784068195045608,0.0031989865515865,0.006871762931534,4.051960947923362
0.03,0,4.360707109846649,0.0198664796976896,0.0447509892771593,3.735084569081664
0.03,1,0.9438160251937688,0.0042351257081649,0.0093230154515981,3.8103295220062137
0.03,2,0.6039613774798136,0.0077190232492648,0.0087871601331452,3.785509173292666
0.03,3,1.073696837497915,0.0068335292768675,0.010808436293201,3.749669664073736
0.03,4,0.9745713768486582,0.0055423023154497,0.010899723377931,3.7353863241150975
0.03,5,2.093478373454044,0.0169122541892557,0.0192673314642479,3.778891060035676
0.03,6,0.8334301467963173,0.0099593685313546,0.0111730867793509,3.727401136886329
0.03,7,0.5293750588474709,0.0080164623561652,0.0085390646330849,3.7543642041273415
0.03,8,1.3087044954143106,0.0080574070293288,0.0113129218661707,3.792608738411218
0.03,9,0.5257367195602048,0.0039307715843551,0.0062142813258444,3.7675271099433294
0.03,10,0.6626176959612494,0.0037081145223651,0.0067074051584294,3.796984182205051
0.03,11,0.7175419301050432,0.004812774515531,0.0073608443738292,3.761298333760351
0.03,12,1.1832727988041378,0.005348041190665,0.0106861546938628,3.7240672977641225
0.03,13,1.0290340181240432,0.0120065634417114,0.0128235569107686,3.796397508587688
0.03,14,0.581280139126161,0.0047705374263783,0.0060613969322072,3.734309964813292
0.03,15,0.586964752114964,0.0048907235001059,0.0072816606475223,3.570098005235195
0.03,16,1.3223984104171274,0.008568821581557,0.0148073591117025,3.766406956128776
0.03,17,0.9505551866030496,0.006517394861049,0.0084318256118607,3.755845495965332
0.03,18,0.669498907174137,0.004676582089927,0.0058298830849887,3.6769477128982544
0.03,19,0.8161247069782516,0.0037592347679226,0.0085322189752984,3.7454254338517785
0.04,0,5.696672639689647,0.0315290728300398,0.0597662638136795,3.570707547944039
0.04,1,1.0159921590274523,0.009444381215882,0.0137838531621239,3.6557648479938503
