sigma,pair,rre,rte,rmse,time
0.01,0,0.0282934982722884,0.0003107063387361,0.0004275829437286,2.0619924110360444
0.01,1,0.0439571964146879,0.0006069179213937,0.0006289771804483,4.456317967735231
0.01,2,0.1148224883387364,0.0004337965610421,0.001191583006774,5.252781392075121
0.01,3,0.0584702012669997,0.0003696861714598,0.0007046367122185,5.292767973151058
0.01,4,0.0743189941669539,0.0006994404882185,0.0008572977201274,5.297616882715374
0.01,5,0.0814176326820644,0.0009059766729276,0.0010358168823045,5.294709394220263
0.01,6,0.0378963503807805,0.00028494850904,0.000394086457029,5.295764785725623
0.01,7,0.0220430250257248,0.0005923708371131,0.0005588850515019,5.261990047059953
0.01,8,0.0478387538959814,0.000362490893761,0.0005860649310079,5.266241738107055
0.01,9,0.0648425068463094,0.0005281006278389,0.0007254520345612,5.290352848358452
0.01,10,0.0508481864401991,0.0005899983529263,0.0006499498165383,5.302513893228024
0.01,11,0.0463974175735813,0.0007902436334728,0.0008881996660084,5.422205992043018
0.01,12,0.0815603356719528,0.0002416703264047,0.0008708544875125,5.385611610952765
0.01,13,0.0387190897577559,0.0005740130924972,0.0005904351927811,5.41720459703356
0.01,14,0.0145752368442864,0.0003877235015268,0.000422771292303,5.275451656896621
0.01,15,0.0668445740113973,0.0003739395146281,0.0006086159143966,5.417395817581564
0.01,16,0.0405880981165334,0.0007515997298644,0.0008119773480523,5.416665127966553
0.01,17,0.0953840925232445,0.0003263835160653,0.00098967259133,5.272242664825171
0.01,18,0.0257620970987369,0.0004396401575327,0.0005171466553859,5.419532334897667
0.01,19,0.1066503229930493,0.0007565670195641,0.0011392021236636,5.417632326018065
0.02,0,0.1012949412971353,0.0005225632861175,0.0009936932785319,5.423956624232233
0.02,1,0.0464382375270271,0.001015796179378,0.0011119521099832,5.500720017123967
0.02,2,0.3377810868173533,0.0009915151284161,0.0034061059657153,5.530883437022567
0.02,3,0.200879187598429,0.0002223460396542,0.0017278791801577,5.534387751948088
0.02,4,0.0717640954674133,0.0026371946036157,0.0024891876003673,5.53637417498976
0.02,5,0.3655834731364939,0.0036521385343222,0.0040543752289913,5.5294987596571445
0.02,6,0.2042600533075549,0.0008064421149074,0.0019586764414396,5.52349345991388
