sigma,pair,rre,rte,rmse,time
0.01,0,22.900389296449667,0.5583343615486714,0.5456998921749466,0.0986801818944513
0.01,1,39.199075713094366,0.3579559028039218,0.5542799457705329,0.1204592208378017
0.01,2,23.047735434406142,0.2690349710357951,0.3815135513445633,0.1160357096232473
0.01,3,22.521731492446936,0.297946051989262,0.3661134881751468,0.2090894877910614
0.01,4,28.52928005630721,0.3440308522343452,0.3894107718799824,0.1097032912075519
0.01,5,31.189152379984343,0.269971532230104,0.3989215247806908,0.1036306377500295
0.01,6,29.278022584958585,0.365680048561077,0.4865707308956237,0.0985590410418808
0.01,7,25.331994298232846,0.3655700926902877,0.4256390072884742,0.1102433810010552
0.01,8,40.20509319903675,0.3507930358120287,0.5092066652354638,0.1034815991297364
0.01,9,30.68704623534164,0.3890186316157353,0.5162367037349402,0.1054934356361627
0.01,10,30.523469729012007,0.4011288405475862,0.5170108880255906,0.1082988418638706
0.01,11,29.49533522897629,0.5367929358744123,0.5743623065384799,0.1040243059396743
0.01,12,18.94150593014101,0.121942158315007,0.1825078346850244,0.1601232611574232
0.01,13,30.992707023581875,0.4833914550321549,0.5126696343345438,0.1139095798134803
0.01,14,25.04712480539369,0.1578909401446301,0.2678148458571498,0.1040534419007599
0.01,15,34.69054999523387,0.335149879005518,0.4774612409969668,0.0995520362630486
0.01,16,24.25403147338172,0.3888728979111613,0.4153423412538621,0.108242972753942
0.01,17,12.92923245371674,0.1427787956641105,0.194253834536668,0.1061683688312769
0.01,18,27.039606766518364,0.3999491654717294,0.4821237307837415,0.146386164240539
0.01,19,37.56177748897736,0.3676238985131755,0.4227755704654338,0.11097630020231
0.02,0,22.937997376050618,0.5636829169642005,0.550764753808491,0.1428351486101746
0.02,1,38.56171010208484,0.3594679834416546,0.5525071355132714,0.1129540409892797
0.02,2,22.65821341318416,0.273223428313638,0.3799606326331814,0.1258203079923987
0.02,3,24.20736605178654,0.2913150672492949,0.3656980036873619,0.1508634281344711
0.02,4,28.77221896159788,0.3413082910589149,0.3880236650309413,0.145412728190422
0.02,5,30.94123385581885,0.2680760278067579,0.3955441831084347,0.1008948488160967
0.02,6,29.941782598074155,0.3624376233726549,0.4872249614842516,0.1019307509995997
0.02,7,25.17390428339684,0.3632068799784436,0.4229696322168096,0.1145372721366584
0.02,8,39.63675091078112,0.3506804512992261,0.5080301878417212,0.1027829181402921
0.02,9,31.593835032024348,0.3765709535520881,0.5136795160778248,0.0998543621972203
0.02,10,29.68583513950416,0.4023662598852451,0.5146880245026308,0.1127976197749376
0.02,11,27.82340451173248,0.5187931593845184,0.5517959501303671,0.1059236489236354
0.02,12,19.16883975062249,0.1283744631998046,0.1880101869387404,0.102984010707587
0.02,13,27.76580249225725,0.4817899663450847,0.5015433911220609,0.100956963840872
0.02,14,24.60492892817144,0.1643292990351963,0.2661998705627507,0.1022627246566116
0.02,15,34.59144490630658,0.325484433296244,0.4721172378650592,0.1601115609519183
0.02,16,24.19937119602978,0.3772927493481073,0.403176938163048,0.1014119242317974
0.02,17,13.531229437077352,0.1460946326456721,0.2014865951466493,0.1309383632615208
0.02,18,26.66065308902373,0.4013889086662884,0.4826786433829202,0.1507874396629631
0.02,19,36.23415134148403,0.3595138740991138,0.4129171177830404,0.1766930841840803
0.03,0,21.94869473235441,0.5599103203424306,0.5460927329986697,0.1059240847826004
0.03,1,37.437056832296285,0.3617259922305229,0.5482498678823193,0.1027282811701297
0.03,2,22.35658256217411,0.2761960424490844,0.3797537781594859,0.1442365110851824
0.03,3,25.064884504975872,0.2867273767000967,0.3658867402303215,0.1025244430638849
0.03,4,28.56788055708742,0.3412178427923352,0.3861464151547475,0.1025818660855293
