sigma,pair,rre,rte,rmse,time
0.01,0,0.1282969953481715,0.0089190280051851,0.0088119567698133,0.1258780849166214
0.01,1,0.4986134939412733,0.0066680520382039,0.0077591823279373,0.1263153157196939
0.01,2,1.2326277507606034,0.0087331838557233,0.0139893471511527,0.1055853241123259
0.01,3,0.4374454379514076,0.0017859427664365,0.0051192492320202,0.1153310830704867
0.01,4,1.0770947735409593,0.0067697273999982,0.0108340147782467,0.1138956537470221
0.01,5,1.3923926164859517,0.0136230888111047,0.0158168366582698,0.0951090329326689
0.01,6,0.758285793276888,0.0093501067348416,0.0107044802100901,0.1336890789680183
0.01,7,0.8068968199654611,0.0052182790946177,0.0079843562733633,0.1024598078802228
0.01,8,1.59734995568732,0.0088214344729543,0.0135059034540939,0.0948557229712605
0.01,9,1.0856547317309226,0.0089504985903779,0.0122590503377443,0.1278230650350451
0.01,10,2.4575895081222145,0.0081046906101783,0.0213110772232252,0.0876963818445801
0.01,11,1.020394716549627,0.0101598480571587,0.0130011177533361,0.1107549131847918
0.01,12,0.3794762020042558,0.0047885794169633,0.0061294794134918,0.110256627202034
0.01,13,0.5676887908870845,0.0060378784113232,0.0071679808037422,0.1102601843886077
0.01,14,1.1103769495224756,0.0034865570451136,0.0092688123852575,0.1004043868742883
0.01,15,1.8903763406081373,0.0075089573092006,0.0172732665058786,0.1005480983294546
0.01,16,0.6336070373454517,0.0059442400493162,0.007479983113367,0.109406073577702
0.01,17,0.2320038882150248,0.0075521047151758,0.0072944549873168,0.1375290253199637
0.01,18,0.5994412712996474,0.0019809385445788,0.0051204522133504,0.0900972029194235
0.01,19,0.5736329962210208,0.0059281891465348,0.006061401880574,0.1161242858506739
0.02,0,0.8044498335034137,0.0131630650204279,0.013334723314222,0.0953195276670157
0.02,1,0.7573780381809643,0.0086350271060794,0.0105417062543979,0.0828004512004554
0.02,2,1.2240513558499515,0.0111017857451149,0.0144791363475749,0.0949974660761654
0.02,3,1.2239342594913063,0.0106893487763852,0.0134928551570651,0.0848581381142139
0.02,4,0.3118145935366203,0.0046297062237489,0.0056180087723761,0.090968748088926
0.02,5,2.535436675379072,0.0123359104185519,0.0212342460952222,0.0882888059131801
0.02,6,1.2137543412775886,0.0137681599683137,0.0153262527666081,0.085209472104907
0.02,7,1.854686434630638,0.0209688372477086,0.0235572002672048,0.0954628698527813
0.02,8,1.0404099448543709,0.0107160580250291,0.0139458411909541,0.0947525859810411
0.02,9,2.125239462828074,0.014145784871614,0.0201069418933276,0.0966375363059341
0.02,10,3.039080852984151,0.0140702767405923,0.0308550966876808,0.0869041178375482
0.02,11,1.360154675700152,0.0196572075674968,0.0206401473507313,0.0963241108693182
0.02,12,0.739846077175318,0.0070340720852106,0.0076383285129413,0.0980403409339487
0.02,13,1.3035995629228776,0.0146453726245355,0.0156509767127879,0.0978553933091461
0.02,14,4.843456653182907,0.0186298764376489,0.0354185428097224,0.0886082137003541
0.02,15,2.4266604466036643,0.008662798699246,0.0224777052657691,0.0784165519289672
0.02,16,1.9995306847737069,0.0069153912546868,0.0182776089277931,0.0819970779120922
0.02,17,1.2196743253453302,0.0093123859218093,0.0110044008626532,0.0876093609258532
0.02,18,1.1404626003496554,0.0041055036963958,0.0110601922295421,0.0860395459458231
0.02,19,2.031555509250844,0.0125645007409976,0.0167656664211072,0.0926069039851427
0.03,0,1.7449219853877325,0.0205977487947777,0.0246727797979754,0.0926770940423011
0.03,1,0.6000957519364387,0.0082628981364301,0.0081834587608715,0.0841174619272351
0.03,2,3.582617257306056,0.0213608966098295,0.0410673689249736,0.0934184109792113
0.03,3,3.65893572625918,0.0128300718159289,0.0365400952616334,0.0866898717358708
0.03,4,2.530743488303152,0.0210731721163441,0.024943193579575,0.1059392560273408
0.03,5,21.58312270763848,0.1493343074355973,0.1809491479880556,0.0997921479865908
0.03,6,1.4244600380003127,0.0206780205603746,0.0237492528468705,0.0959402760490775
0.03,7,2.5907902574072423,0.0149708826987011,0.023126790350863,0.0965921380557119
0.03,8,2.477869237306657,0.0167634759117596,0.0265991228555359,0.0896802400238812
0.03,9,3.607864652217821,0.0080426506085868,0.0361528404846909,0.0845982148312032
0.03,10,6.758449112672954,0.0298281848422308,0.0769953731952968,0.0951071302406489
0.03,11,1.346926513857169,0.0232072946898211,0.0262273028161085,0.0813289368525147
0.03,12,4.076844560265263,0.0247004301691229,0.0337685157414782,0.089454093016684
0.03,13,1.7935987596168508,0.0261539236352911,0.0270984438413606,0.0999382678419351
0.03,14,1.7055426831064906,0.0194909584042135,0.021618083815804,0.0986802335828542
0.03,15,1.4753139173685883,0.0297014678033214,0.0364945629292487,0.0984575562179088
0.03,16,3.174616662828181,0.0320857748356557,0.0412850253392681,0.111038994975388
0.03,17,1.4789432570557468,0.010503096257283,0.0182020405694956,0.0974031467922031
0.03,18,3.904455029761084,0.0197789603290065,0.0379290194055588,0.0991787468083202
0.03,19,1.9462024048521844,0.0193403334613726,0.0238711211088341,0.0927500459365546
0.04,0,14.080506090837064,0.0802071063570277,0.108891803008517,0.0945650096982717
0.04,1,4.097446807036548,0.0202477002466156,0.0404483637570866,0.1016210620291531
0.04,2,4.455245610254567,0.1342368637242422,0.1357799504028788,0.0990334199741482
0.04,3,6.405357102719772,0.0545359909270153,0.071894595126048,0.107253991998732
0.04,4,7.520258218552064,0.0337473102671976,0.0741272902746972,0.1101736440323293
0.04,5,42.25252066736355,0.1620954899127479,0.3759229673911843,0.0973894419148564
0.04,6,26.020864392423142,0.1345344094675534,0.2236374208810486,0.0891349022276699
0.04,7,6.880563924827879,0.0128164336677891,0.0568770376800552,0.0896065919660031
0.04,8,15.439953965893087,0.0805996174820107,0.1425511197320798,0.0856094933114945
0.04,9,4.1168553051721775,0.008188033658956,0.0425412522711086,0.0899581089615821
0.04,10,9.17172321640925,0.0819512471206105,0.1259639984976339,0.0910325199365615
0.04,11,3.622822439459705,0.0245017775852693,0.040336438143689,0.0866770721040666
0.04,12,4.018493680647252,0.0456685984885988,0.0549251549084047,0.0895424610935151
0.04,13,6.974653586173381,0.0491205297406927,0.08306511289536,0.0913290870375931
0.04,14,9.16266699287762,0.1069541565442576,0.1351381665302846,0.0948307430371642
0.04,15,11.680816688053255,0.087607817939432,0.1242036676736631,0.0895692221820354
0.04,16,2.5337299170482583,0.0231310193345389,0.0304580166069601,0.1106812339276075
0.04,17,4.637612516329531,0.0254179435277932,0.0449691122469283,0.1034335060976445
0.04,18,7.182269321398237,0.0974511781291851,0.0946545775421324,0.1115341507829725
0.04,19,7.56010344144693,0.0701427331794413,0.0745813120444906,0.0983765302225947
0.05,0,42.08239093061034,0.19543165359161685,0.3822148076378953,0.09299136279150844
0.05,1,55.4280515262267,0.17742266264071666,0.4124808893693816,0.10787595016881824
0.05,2,16.547910316561882,0.35219661302476996,0.4020252522694965,0.10360632883384824
0.05,3,17.67452974958908,0.2267982080252009,0.2620498828119156,0.1040027430281043
0.05,4,12.781699950701272,0.023705951796544805,0.11452204060955139,0.09517473680898547
0.05,5,34.72718520077986,0.27814813283202344,0.36852512324933684,0.1083681182935834
0.05,6,57.91762656409202,0.5195953043941758,0.7869859918635753,0.11178391706198454
0.05,7,26.720876803512112,0.06595139386606862,0.2269485968715321,0.09374713711440563
0.05,8,16.93821818420411,0.13684829621239578,0.1734378786928567,0.09841166203841567
0.05,9,20.820361274277886,0.23620836268241946,0.2492266100515585,0.0995700778439641
0.05,10,154.79958041690472,0.5497425895986389,1.0666608579980046,0.10447008488699794
0.05,11,93.03488820444169,0.3568900711970049,0.7284312643467099,0.11605088878422976
0.05,12,7.191524197808274,0.07919213187189575,0.08682684099635077,0.09015655890107155
0.05,13,48.801880078328715,0.054153271775630736,0.40601350313978424,0.0932295210659504
0.05,14,137.8311112728292,0.22916808727939428,0.9430533819532557,0.0929683349095285
0.05,15,6.944358275542913,0.08651406241209529,0.09600965780996483,0.11165946489199996
0.05,16,67.44862650184483,0.4339672527735619,0.5877408494568281,0.10733558982610703
0.05,17,34.34565755226551,0.16417776924889718,0.2824926389122271,0.11051896773278713
0.05,18,30.875664432888115,0.1481199797759952,0.25164289368920345,0.10594368493184447
0.05,19,61.85924312917855,0.36649509789999796,0.5034097368783625,0.1071310481056571
