angle,pair,rre,rte,rmse,time
10,0,0.2360174141292981,0.001273445950357,0.002438321646689,0.1882547507993877
10,1,0.3576162848882542,0.0025372355476324,0.0036705210412693,0.1835393030196428
10,2,0.5065286686102014,0.0026441078762543,0.0054903949441645,0.1867910539731383
10,3,0.2275434649806811,0.0007675633870008,0.0021708683563989,0.1788609940558672
10,4,0.1440053380190886,0.0043698590733779,0.0043323197784905,0.1856081490404904
10,5,0.6749315190727107,0.0046550925283481,0.0061911854008883,0.1738521791994571
10,6,0.1788046022236314,0.0027094174729383,0.0032293319936222,0.1815436878241598
10,7,0.1028815124416143,0.00146744197756,0.0016975249068088,0.1849045036360621
10,8,0.3373112502670019,0.0035868494779893,0.0040203699493558,0.1812161710113287
10,9,0.2575058374384098,0.0013778167296711,0.0024497193886112,0.1823115716688335
10,10,0.2936353442035858,0.0021128818377654,0.0033552690098379,0.1854512011632323
10,11,0.3172919655668386,0.0029769389116918,0.0039468030153468,0.1836902457289397
10,12,0.5280283321124,0.0010059767959984,0.0048227377171644,0.1882003657519817
10,13,0.2145082781143788,0.0050150103645402,0.004879716682203,0.1845600730739534
10,14,0.1785716033692449,0.0023002383884191,0.0030191270131494,0.1829577037133276
10,15,0.3562380701819352,0.0027298215417587,0.003851388552975,0.1790215247310698
10,16,0.1333891783593742,0.0025699613548928,0.0028999775326681,0.1905368417501449
10,17,0.3164816846671692,0.0029395951848057,0.0034077968008043,0.1894556060433387
10,18,0.2415274431316057,0.0013746001431094,0.0025544849570447,0.1855330802500248
10,19,0.5908016605263241,0.0043771675403026,0.0059005877534199,0.1803414411842823
20,0,0.2430258657940189,0.0015691008693966,0.0023516430815246,0.187384741846472
20,1,0.1005083955560384,0.0025163242583429,0.0026552720528484,0.1802798747085034
20,2,0.4528795388209103,0.0022581648786569,0.0045246232317477,0.1877907640300691
20,3,0.295329768575001,0.0010613304115208,0.0026484824284072,0.1741471979767084
20,4,0.3269802193025504,0.0047487991607087,0.0045858508313529,0.1829316150397062
20,5,0.4875742400370275,0.0045312350222171,0.005167154648616,0.1713017313741147
20,6,0.4161042985074973,0.00197016693872,0.0037478989235446,0.1787240803241729
20,7,0.0409022866798992,0.0013901834206898,0.001411077592133,0.1808268702588975
20,8,0.2573603358062619,0.003409773388079,0.0036156267537064,0.1807189751416444
20,9,0.3222715695625028,0.001408516794738,0.0028181892493865,0.179800677113235
20,10,0.2483045484841458,0.0014290574978201,0.002747098475678,0.1817225851118564
20,11,0.2025241854787084,0.0024896539570639,0.0030543234449158,0.1823785589076578
20,12,0.5993403251215713,0.0011352268841575,0.0057380296552878,0.187345169018954
20,13,0.1704354840721883,0.0035927569217375,0.0035332605246872,0.1830924260430038
20,14,0.1431650684857793,0.002959137980157,0.002829471247019,0.1820633606985211
20,15,0.2331273708532006,0.0030153273933426,0.0034666015812006,0.1767170969396829
20,16,0.1276563090199214,0.0044098192675914,0.0046439706099889,0.1906650587916374
20,17,0.2184690719158989,0.0022846092467441,0.0025581176297427,0.1893106750212609
20,18,0.2463794759496374,0.0013653922256248,0.0023466981622171,0.1832918389700353
20,19,0.4103858547872982,0.0027842654183275,0.0041901723522287,0.1770862750709056
30,0,0.2751754717145386,0.0008757601555953,0.0025648936321325,0.1869288673624396
30,1,0.0546627385790255,0.0026096122910584,0.0027805879725355,0.1789932269603014
30,2,0.4650875689733971,0.0007664830980957,0.0044542317249774,0.1836666008457541
30,3,0.2768028611154826,0.0015056636638145,0.0028442907237406,0.172158429864794
30,4,0.2219099015000459,0.0040161314293912,0.0039780093994217,0.177251371089369
30,5,0.6033634577914959,0.006009163645907,0.006805210635105,0.1689573032781481
30,6,0.2895405265050312,0.0027894131114803,0.0040966976027805,0.1798938298597932
30,7,0.1011547406203054,0.0021740853111952,0.0021315903907036,0.1799873770214617
30,8,0.1821618943791184,0.0023706270939306,0.0029305765306965,0.1793332421220839
30,9,0.4391472578173352,0.0005578012608493,0.0035976295780367,0.1776354033499956
30,10,0.3317763063059633,0.0005235530716976,0.0029599096006038,0.1790053816512227
30,11,0.1154523953446042,0.0018383776231636,0.0021359323677529,0.1815472338348627
30,12,0.5327108690378988,0.0024801426347144,0.0047681465532018,0.1867101429961621
30,13,0.2625150836704777,0.004555525883134,0.0046274182920137,0.1787296663969755
30,14,0.1586926599471607,0.0036546832056156,0.0041897896310392,0.1840760433115065
30,15,0.1204063578485467,0.0027220626744564,0.0030556849575431,0.1773673919960856
30,16,0.1460613734763495,0.0031868051724532,0.0036737594430245,0.1860959031619131
30,17,0.1499552298701608,0.00217615983411,0.0024873221282542,0.1887539150193333
30,18,0.1631788624232187,0.0016246824180922,0.0022582398047087,0.1819665199145674
30,19,0.4039598628923703,0.0035327457479157,0.0047677164676702,0.1740551991388201
40,0,0.1886003396395949,0.0017129621189824,0.0026659303503374,0.1840993617661297
40,1,0.1194525548752731,0.002329392208093,0.0027105827452357,0.1768006919883191
40,2,0.4447370517276302,0.001812860837306,0.004470114555172,0.1784607470035553
40,3,0.2574277015415663,0.0009634485566027,0.0024366686031861,0.1710827471688389
40,4,0.2790635548923004,0.00490296788068,0.0052263297834561,0.1731891096569597
40,5,0.6451171622314832,0.0049514445463869,0.0063499962908809,0.1684898701496422
40,6,0.1932855611502091,0.0017546862728217,0.0022025995750952,0.1817134097218513
40,7,0.3060347249065106,0.0025080781611985,0.003453072906495,0.1756797088310122
40,8,0.2290670254828498,0.0018091423082193,0.0025288379327804,0.1782336281612515
40,9,0.3662717714596625,0.0011426691223116,0.003146546459064,0.1719814082607627
40,10,0.3739162851911823,0.0015281487725354,0.0036065722234464,0.1738560879603028
40,11,0.2298278954470441,0.0031525957820896,0.003675218522791,0.1777129089459777
40,12,0.4125757422265096,0.0008964749495234,0.0037974944291854,0.1844586227089166
40,13,0.2880911856974146,0.0053325767717968,0.0053240964088745,0.1719901687465608
40,14,0.264814821434272,0.0020003443187097,0.0032864518875529,0.1824142131954431
40,15,0.4231165230253492,0.0029720947869237,0.0041244703280652,0.1764267780818045
40,16,0.3723641581855917,0.0031511315682886,0.0048817576060487,0.18402059096843
40,17,0.2934450335456501,0.0034134195112623,0.0034863266534679,0.1869733440689742
40,18,0.1919787204051196,0.0026185508202391,0.0029810309277939,0.1793784420005977
40,19,0.56939581860012,0.0036519485346612,0.0055169059086451,0.1754099032841622
50,0,0.2492653229990818,0.0016192985610615,0.0030281317705852,0.1837878110818565
50,1,0.1955092453390064,0.0021726200768341,0.0026827575067143,0.1752655101008713
50,2,0.288763382534903,0.0010328420167595,0.0030052307939343,0.1708610989153385
50,3,0.2389350354486796,0.0011123961804557,0.0024256681652908,0.1690439418889582
50,4,0.1981227744710836,0.0048270776316991,0.0045669608862706,0.1679799240082502
50,5,0.4896374471702994,0.0050960939350107,0.0061012655108061,0.1680771820247173
50,6,0.2195846606444119,0.0020365418959719,0.0028051350751649,0.1774799139238894
50,7,0.1382449351885719,0.0018054106308047,0.0019277749697005,0.1728264400735497
50,8,0.322213704505329,0.0029558364521283,0.0033158687546346,0.1788877579383552
50,9,0.2918703774019821,0.0002703776260895,0.0023019698691425,0.1675667068921029
50,10,0.4159299565043683,0.0018996778278237,0.0041189323124377,0.1701522311195731
50,11,0.1057002529360218,0.0029125601303616,0.003084557606098,0.165788325946778
50,12,0.5247815780356248,0.0018617201484586,0.0052871432936757,0.1742655020207166
50,13,0.0721283964147257,0.0042766193643433,0.0041236562195642,0.164337616879493
50,14,0.2317850053282373,0.0041312948809621,0.0043405399019977,0.1764174378477037
50,15,0.3381816199963708,0.0020793872329702,0.0034338784982535,0.1733656441792845
50,16,0.3996700631314351,0.0010850075561372,0.0037451111972541,0.178467505145818
50,17,0.1173118125021315,0.0018657670891599,0.0018255796041949,0.1855948562733829
50,18,0.2874390880103968,0.0017892294856608,0.0032746512884415,0.1772806160151958
50,19,0.528826520708654,0.0051965531581051,0.0064524257706734,0.1732485927641391
60,0,0.2005260260435114,0.0011046837564935,0.0021884144606194,0.1828081011772155
60,1,0.171790274900369,0.0026062981350082,0.0028701062681525,0.1710358737036585
60,2,0.4523480887604479,0.003589655505302,0.0055687298587776,0.1641121292486786
60,3,0.3588942531898277,0.0009304289921713,0.0029733269269586,0.1626250040717423
60,4,0.4710953756333288,0.0038626295570094,0.0048688589900074,0.155641424935311
60,5,0.6377483633642649,0.0057519055746098,0.0065184885513366,0.1686337888240814
60,6,0.1853237372832747,0.002204889152934,0.0029977394530449,0.1737650060094893
60,7,0.1806828116947547,0.0026253608050259,0.0030710678723316,0.1635880214162171
60,8,0.4034520078536977,0.0037363368854039,0.0045379307593449,0.1808098498731851
60,9,0.5388287467644624,0.0017912254436717,0.0039921889466246,0.1606326256878674
60,10,0.3485607198130137,0.0014733989470874,0.0028858182976836,0.1678435700014233
60,11,0.1899924167883589,0.0021650013386516,0.0027929024079585,0.1443647062405944
60,12,0.3729482531940595,0.0007404613091909,0.0034621053532339,0.1588391689583659
60,13,0.1883918022491504,0.0038480282068881,0.0038116582373145,0.147461854852736
60,14,0.1461571052732161,0.0032186947050293,0.0036648456577147,0.1707792058587074
60,15,0.4986020194180076,0.002956968513774,0.0051107183781275,0.1706903469748795
60,16,0.1788289857162235,0.0031115083544071,0.0038003037815963,0.1713583171367645
60,17,0.1044922604712953,0.0020283350911503,0.0020945142064306,0.1843861709348857
60,18,0.2459869919126888,0.0018871640989242,0.0030423019711942,0.1693187467753887
60,19,0.5790223537686104,0.0050528271657062,0.0065153081913848,0.1663521779701113
70,0,0.2012143824060136,0.0009147295800207,0.0016446802025603,0.1774847330525517
70,1,0.1563682865532011,0.0014775501021042,0.0019045782340608,0.1638265126384794
70,2,0.388182067572047,0.0017026543607988,0.0040201957172546,0.1525707161054015
70,3,0.305174622152721,0.0012250292462817,0.0028758612237117,0.1489120507612824
70,4,0.4379038585572617,0.0054379047661534,0.0058376826952381,0.1347019779495895
70,5,0.5962859276851992,0.0058766534691543,0.0067333613506467,0.1660640467889607
70,6,0.259480286375141,0.0014167577603151,0.0028810220082723,0.1686364100314676
70,7,0.1798001101626418,0.0025981867734053,0.0030906845471453,0.149012696929276
70,8,0.4440199052940102,0.0029561285870553,0.0045245385281194,0.175030134152621
70,9,0.6639357842326529,0.0013818092382542,0.005060189109539,0.1481459303759038
70,10,0.3776013058927626,0.0010107129797173,0.0037671991594102,0.1534887519665062
70,11,75.79312842132965,0.3236506542605263,0.6953054061539049,0.0801745960488915
70,12,0.4486777824441377,0.0013905318597007,0.0042755418376069,0.1471242941915989
70,13,0.8959488989190144,0.0083560500681409,0.0097616236927313,0.1152134593576192
70,14,0.2608208063281313,0.0029943121861902,0.0040683981861296,0.1582804820500314
70,15,0.22523925806568,0.0015073094410818,0.0024395503960284,0.1710269628092646
70,16,1.0474976386725634,0.0029246596581965,0.0090174524474703,0.1130692181177437
70,17,0.2777022039100833,0.0020979551941367,0.0025759161070259,0.1821796810254454
70,18,0.3263570684091287,0.001584412243751,0.0034362955448946,0.1362906098365783
70,19,0.6133578707173128,0.0048489302919143,0.0063818509705081,0.1518809138797223
80,0,0.0964975614565083,0.0021118099008364,0.0021351226554151,0.1728494670242071
80,1,0.1443941579273552,0.0033948294593454,0.0034608529565719,0.1632301937788725
80,2,0.4976628450354916,0.0019546467420738,0.0049971504493822,0.1314335078932345
80,3,0.5335422577042372,0.0023358045042221,0.0049768969319134,0.1333486908115446
80,4,4.659694670548393,0.0263672052951949,0.043743639688675,0.0870683742687106
80,5,0.4322060607924241,0.0049693731433363,0.0055206064315646,0.1653459751978516
80,6,0.1249734794972589,0.0009034575785171,0.0015413839513769,0.1629056688398122
80,7,0.2404999489003734,0.0021715464258784,0.0029290201106694,0.1369176800362765
80,8,0.3871782404421565,0.0028087353928049,0.003570957961985,0.1658824430778622
80,9,1.5748034179974353,0.0053540257648933,0.012385873861226,0.1245332420803606
80,10,0.3257122398399463,0.00130846825728,0.0032115424829445,0.1444137706421315
80,11,122.30808960004566,0.4683328920001983,1.008458005595473,0.084989502094686
80,12,0.5122205025976576,0.0009167035635158,0.0050906669075886,0.1358285010792315
80,13,78.1838624524142,0.2141961896581246,0.5336496873806168,0.0845915130339562
80,14,0.2680143688553896,0.0040224039250183,0.0045887017799638,0.1355780130252242
80,15,0.4251219207738492,0.0017864248871435,0.0036802278797615,0.1648833062499761
